house_id,montly_rent,deposit_value,house_rules,street,size,lat_long,scrapy_datetime
1722984,EUR 660,EUR 0,"['Private facilities', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'Private balcony', 'WiFi', 'Bed', 'Bedroom lock', 'Washing machine', 'Closet', 'Electrical heating', 'Smoking allowed only outside', 'Pets not allowed']",Merziger Straße,Property: 20 m2,"['51.2503358', '6.7870948']",2021/05/11 - 06:27:55
1713751,EUR 1500,EUR 2000,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Radeberger Straße,Property: 60 m2,"['51.2289', '6.84812']",2021/05/11 - 06:27:57
1718034,EUR 590,EUR 1200,"['Shared garden', 'Shared toilet', 'Shared kitchen', 'No Parking', 'No living room', 'No basement', 'WiFi', 'Living room furniture', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Reisholzer Straße,Property: 100 m2,"['51.20634', '6.8328']",2021/05/11 - 06:28:00
1705840,EUR 1050,EUR 1050,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Closet', 'Central heating', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,"['51.22123', '6.78793']",2021/05/11 - 06:28:19
1704580,EUR 850,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Westfalenstraße,Furnished,"['51.26296', '6.8168']",2021/05/11 - 06:28:21
1716967,EUR 1150,EUR 1200,"['Shared facilities', 'Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Hoffeldstraße,Property: 38 m2,"['51.22699', '6.81498']",2021/05/11 - 06:28:26
1722111,EUR 1200,EUR 500,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Karl-Anton-Straße,Property: 56 m2,"['51.22539', '6.79334']",2021/05/11 - 06:28:28
1709049,EUR 900,EUR 1000,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Washing machine', 'Closet', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Ahnfeldstraße,Property: 40 m2,"['51.24032', '6.79778']",2021/05/11 - 06:28:31
1710699,EUR 710,EUR 1200,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Ellerstraße,Property: 20 m2,"['51.21539', '6.79858']",2021/05/11 - 06:28:33
1724148,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,"['51.22102', '6.80302']",2021/05/11 - 06:28:36
1721872,EUR 660,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Air conditioning', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,"['51.22102', '6.80302']",2021/05/11 - 06:28:38
1718361,EUR 900,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Kirchfeldstraße,Property: 25 m2,"['51.21231', '6.77587']",2021/05/11 - 06:28:40
1719840,EUR 850,EUR 1700,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Brückenstraße,Property: 34 m2,"['51.21598', '6.75917']",2021/05/11 - 06:28:43
1724149,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,"['51.22102', '6.80302']",2021/05/11 - 06:28:52
1721873,EUR 760,EUR 500,"['Private facilities', 'Private Toilet', 'Private bathroom', 'No living room', 'No garden', 'No kitchen', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Shared kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Moskauer Straße,Property: 25 m2,"['51.22102', '6.80302']",2021/05/11 - 06:28:55
1705818,EUR 1050,EUR 1050,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,"['51.22123', '6.78793']",2021/05/11 - 06:28:59
1705843,EUR 950,EUR 950,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,"['51.22123', '6.78793']",2021/05/11 - 06:29:03
1705836,EUR 950,EUR 950,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,"['51.22123', '6.78793']",2021/05/11 - 06:29:17
1711349,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Harleßstraße,Property: 24 m2,"['51.2445', '6.79983']",2021/05/11 - 06:29:19
